Model Name,COGS
FR-A820-0.4K-1,"51,765.20"
FR-A820-0.75K-1,"53,340.00"
FR-A820-1.5K-1,"56,476.90"
FR-A820-2.2K-1,"59,613.80"
FR-A820-3.7K-1,"60,921.90"
FR-A820-5.5K-1,"80,200.50"
FR-A820-7.5K-1,"88,823.80"
FR-A820-11K-1,"1,06,159.30"
FR-A820-15K-1,"1,40,068.30"
FR-A840-0.4K-1,"47,663.10"
FR-A840-0.75K-1,"53,327.30"
FR-A840-1.5K-1,"58,915.30"
FR-A840-2.2K-1,"61,442.60"
FR-A840-3.7K-1,"63,868.30"
FR-A840-5.5K-1,"83,426.30"
FR-A840-7.5K-1,"92,087.70"
FR-A840-11K-1,"1,06,337.10"
FR-A840-15K-1,"1,34,874.00"
FR-A840-18.5K-1,"1,50,025.10"
FR-A840-22K-1,"1,50,990.30"
FR-A840-30K-1,"1,94,132.20"
FR-A840-37K-1,"2,54,152.40"
FR-A840-45K-1,"2,56,692.40"
FR-A840-55K-1,"2,98,107.10"
FR-A840-75K-1,"3,81,419.10"
FR-A840-90K-1,"4,04,304.50"
FR-A840-110K-1,"6,41,781.80"
FR-A840-132K-1,"6,85,152.30"
FR-A840-160K-1,"10,10,018.30"
FR-A840-185K-1,"10,19,746.50"
FR-A840-220K-1,"13,76,362.50"
FR-A840-250K-1,"14,70,266.30"
FR-A840-280K-1,"14,93,570.80"
FR-A842-315K-1,"23,49,500.00"
FR-A842-355K-1,"29,68,155.10"
FR-A840-00126-2-60,"67,208.40"
FR-A840-00170-2-60,"91,757.50"
FR-A840-00250-2-60,"93,357.70"
FR-A840-00310-2-60,"1,12,928.40"
FR-A840-00380-2-60,"1,15,087.40"
FR-A840-00470-2-60,"1,63,042.60"
FR-A840-00620-2-60,"1,63,982.40"
FR-A840-00770-2-60,"2,00,939.40"
FR-A840-00930-2-60,"2,60,858.00"
FR-A840-01160-2-60,"2,63,385.30"
FR-A840-01800-2-60,"3,05,308.00"
FR-A840-02160-2-60,"3,91,198.10"
FR-A840-02600-2-60,"4,14,083.50"
FR-A840-03250-2-60,"6,52,310.10"
FR-A840-03610-2-60,"6,93,699.40"
FR-A840-04320-2-60,"10,25,867.90"
FR-A842-400K-1,"34,36,467.60"
FR-A842-450K-1,"39,93,261.00"
FR-A842-500K-1,"19,71,357.50"
FR-A840-0.4K-1-R2R,"52,438.30"
FR-A840-0.75K-1-R2R,"58,661.30"
FR-A840-1.5K-1-R2R,"65,405.00"
FR-A840-2.2K-1-R2R,"74,650.60"
FR-A840-3.7K-1-R2R,"75,539.60"
FR-A840-5.5K-1-R2R,"93,268.80"
FR-A840-7.5K-1-R2R,"94,856.30"
FR-A840-11K-1-R2R,"1,10,375.70"
