Capacity (KW),Model (Rated Current),Price (BDT)
0.4K,FR-D720S-0.4K / FR-D720S-025-NA (2.5A),"20,500"
0.4K,FR-D720-0.4K (2.5A),"18,500"
0.4K,FR-D740-0.4K (1.2A),"24,000"
0.4K,FR-E820-0.4K-1 (3A),"20,500"
0.4K,FR-E840-0.4K-1 (1.6A),"29,000"
0.4K,FR-A820-0.4K-1 (4.6A),"40,000"
0.4K,FR-A840-0.4K-1 (2.3A),"60,500"
0.75K,FR-D720S-0.75K / FR-D720S-042-NA (4.2A),"23,500"
0.75K,FR-D720-0.75K (4.2A),"22,000"
0.75K,FR-D740-0.75K (2.2A),"27,500"
0.75K,FR-E820-0.75K-1 (5A),"25,500"
0.75K,FR-E840-0.75K-1 (2.6A),"32,500"
0.75K,FR-F820-0.75K-1 (4.6A),"48,500"
0.75K,FR-F840-0.75K-1 (2.3A),"58,000"
0.75K,FR-A820-0.75K-1 (7.7A),"52,000"
0.75K,FR-A840-0.75K-1 (3.8A),"61,500"
1.5K,FR-D720S-1.5K / FR-D720S-070-NA (7.0A),"25,500"
1.5K,FR-D720-1.5K (7A),"23,500"
1.5K,FR-D740-1.5K (3.6A),"30,500"
1.5K,FR-E820-1.5K-1 (8A),"31,000"
1.5K,FR-E840-1.5K-1 (4A),"37,500"
1.5K,FR-F820-1.5K-1 (7.7A),"49,500"
1.5K,FR-F840-1.5K-1 (3.8A),"58,500"
1.5K,FR-A820-1.5K-1 (10.5A),"54,500"
1.5K,FR-A840-1.5K-1 (5.2A),"66,500"
2.2K,FR-D720S-2.2K / FR-D720S-100-NA (10A),"30,500"
2.2K,FR-D720-2.2K (10A),"28,000"
2.2K,FR-D740-2.2K (5A),"37,000"
2.2K,FR-E820-2.2K-1 (11A),"33,500"
2.2K,FR-E840-2.2K-1 (6A),"41,000"
2.2K,FR-F820-2.2K-1 (10.5A),"57,500"
2.2K,FR-F840-2.2K-1 (5.2A),"59,000"
2.2K,FR-A820-2.2K-1 (16.7A),"59,500"
2.2K,FR-A840-2.2K-1 (8.3A),"70,000"
3.7K,FR-D720-3.7K (16.5A),"39,000"
3.7K,FR-D740-3.7K (8A),"44,000"
3.7K,FR-E820-3.7K-1 (17.5A),"47,500"
3.7K,FR-E840-3.7K-1 (9.5A),"48,500"
