Capacity (KW),Model (Rated Current),Price (BDT)
,FR-D720S-0.4K / FR-D820S-0.4K-025-NA (2.5A),"29,000"
,FR-D720-0.4K / FR-D820-0.4K-025-60 (2.5A),"26,200"
,FR-D740-0.4K / FR-D840-0.4K-012-NA (1.2A),"35,400"
,FR-E720-0.4K / FR-E820-030-5-60 (3.0A),"29,900"
,FR-E740-0.4K / FR-E840-016-5-60 (1.6A),"39,600"
,FR-A820-0.4K-1 (3.0A),"80,800"
,FR-A840-0.4K-1 (1.5A),"74,500"
,FR-CS82S-025-60 (2.5A),"16,200"
,FR-CS84-012-60 (1.2A),"17,200"
,FR-D720S-0.75K / FR-D820S-0.75K-042-NA (4.2A),"31,300"
,FR-D720-0.75K / FR-D820-0.75K-042-60 (4.2A),"29,500"
,FR-D740-0.75K / FR-D840-0.75K-022-NA (2.2A),"36,600"
,FR-E720-0.75K / FR-E820-050-5-60 (5.0A),"30,800"
,FR-E740-0.75K / FR-E840-026-5-60 (2.6A),"39,800"
,FR-F820-0.75K-1 (4.2A),"78,800"
,FR-F840-0.75K-1 (2.1A),"81,900"
,FR-A820-0.75K-1 (5.0A),"83,300"
,FR-A840-0.75K-1 (2.5A),"83,300"
,FR-CS82S-042-60 (4.2A),"17,500"
,FR-CS84-022-60 (2.2A),"20,700"
,FR-D720S-1.5K / FR-D820S-1.5K-070-NA (7.0A),"39,700"
,FR-D720-1.5K / FR-D820-1.5K-070-60 (7.0A),"34,100"
,FR-D740-1.5K / FR-D840-1.5K-036-NA (3.6A),"37,400"
,FR-E720-1.5K / FR-E820-080-5-60 (8.0A),"37,100"
,FR-E740-1.5K / FR-E840-040-5-60 (4.0A),"43,900"
,FR-F820-1.5K-1 (7.0A),"80,200"
,FR-F840-1.5K-1 (3.5A),"91,600"
,FR-A820-1.5K-1 (8.0A),"88,200"
,FR-A840-1.5K-1 (4.0A),"92,000"
,FR-CS82S-070-60 (7.0A),"19,900"
,FR-CS84-036-60 (3.6A),"24,100"
,FR-D720S-2.2K / FR-D820S-2.2K-100-NA (10.0A),"43,900"
,FR-D720-2.2K / FR-D820-2.2K-100-60 (10.0A),"36,800"
,FR-D740-2.2K / FR-D840-2.2K-050-NA (5.0A),"42,900"
,FR-E720-2.2K / FR-E820-110-5-60 (11.0A),"38,000"
,FR-E740-2.2K / FR-E840-060-5-60 (6.0A),"47,600"
,FR-F820-2.2K-1 (9.6A),"84,600"
,FR-F840-2.2K-1 (4.8A),"92,500"
,FR-A820-2.2K-1 (11.0A),"93,100"
,FR-A840-2.2K-1 (6.0A),"96,000"
,FR-CS82S-100-60 (10.0A),"23,300"
,FR-CS84-050-60 (5.0A),"27,500"
,FR-D720-3.7K / FR-D820-3.7K-165-60 (16.5A),"41,500"
,FR-D740-3.7K / FR-D840-3.7K-080-NA (8.0A),"46,800"
,FR-E720-3.7K / FR-E820-175-5-60 (17.5A),"45,600"
,FR-E740-3.7K / FR-E840-095-5-60 (9.5A),"50,330"
,FR-F820-3.7K-1 (15.2A),"86,400"
,FR-F840-3.7K-1 (7.6A),"96,500"
,FR-A820-3.7K-1 (17.5A),"95,200"
,FR-A840-3.7K-1 (9.0A),"99,800"
,FR-CS84-080-60 (8.0A),"31,900"
,FR-D720-5.5K / FR-D820-5.5K-238-60 (23.8A),"71,700"
,FR-D740-5.5K / FR-D840-5.5K-120-NA (12.0A),"60,600"
,FR-E720-5.5K / FR-E820-240-5-60 (24.0A),"72,000"
,FR-E740-5.5K / FR-E840-120-5-60 (12.0A),"61,800"
,FR-F820-5.5K-1 (23.0A),"88,800"
,FR-F840-5.5K-1 (11.5A),"98,200"
,FR-A820-5.5K-1 (24.0A),"125,300"
,FR-A840-5.5K-1 (12.0A),"130,300"
,FR-CS84-120-60 (12.0A),"43,700"
,FR-D720-7.5K / FR-D820-7.5K-318-60 (31.8A),"80,700"
,FR-D740-7.5K / FR-D840-7.5K-160-NA (16.0A),"70,100"
,FR-E720-7.5K / FR-E820-330-5-60 (33.0A),"81,000"
,FR-E740-7.5K / FR-E840-170-5-60 (17.0A),"75,250"
,FR-F820-7.5K-1 (31.0A),"116,200"
,FR-F840-7.5K-1 (16.0A),"130,400"
,FR-A820-7.5K-1 (33.0A),"138,800"
,FR-A840-7.5K-1 (17.0A),"143,800"
,FR-CS84-160-60 (16.0A),"44,900"
,FR-D720-11K (45.0A),"137,000"
,FR-D740-11K (23.0A),"121,200"
,FR-E720-11K / FR-E820-470-5-60 (47.0A),"143,600"
,FR-E740-11K / FR-E840-230-5-60 (23.0A),"123,800"
,FR-F820-11K-1 (45.0A),"120,100"
,FR-F840-11K-1 (23.0A),"144,400"
,FR-A820-11K-1 (46.0A),"165,700"
,FR-A840-11K-1 (23.0A),"166,100"
,FR-CS84-230-60 (23.0A),"72,000"
,FR-D720-15K (58.0A),"152,700"
,FR-E720-15K / FR-E820-600-5-60 (60.0A),"146,300"
,FR-E740-15K / FR-E840-300-5-60 (30.0A),"125,900"
,FR-F820-15K-1 (58.0A),"142,200"
,FR-F840-15K-1 (29.0A),"154,000"
,FR-A820-15K-1 (61.0A),"218,800"
,FR-A840-15K-1 (31.0A),"210,700"
,FR-CS84-295-60 (29.5A),"75,300"
,FR-F840-18.5K-1 (35.0A),"158,300"
,FR-A840-18.5K-1 (38.0A),"234,400"
,FR-F840-22K-1 (43.0A),"236,900"
,FR-A840-22K-1 (44.0A),"235,800"
,FR-F840-30K-1 (57.0A),"238,400"
,FR-A840-30K-1 (57.0A),"303,300"
,FR-F840-37K-1 (70.0A),"305,200"
,FR-A840-37K-1 (71.0A),"397,000"
,FR-F840-45K-1 (85.0A),"407,400"
,FR-A840-45K-1 (86.0A),"400,900"
,FR-F840-55K-1 (106.0A),"411,400"
,FR-A840-55K-1 (110.0A),"465,700"
,FR-F840-75K-1 (144.0A),"481,300"
,FR-A840-75K-1 (144.0A),"624,400"
,FR-HEL-H75K,"110,500"
,FR-F840-90K-1 (180.0A),"624,200"
,FR-A840-90K-1 (180.0A),"661,900"
,FR-HEL-H90K,"118,000"
,FR-F840-110K-1 (216.0A),"660,800"
,FR-A840-110K-1 (216.0A),"1,050,700"
,FR-HEL-H110K,"139,500"
,FR-F840-132K-1 (260.0A),"1,030,800"
,FR-A840-132K-1 (260.0A),"1,121,600"
,FR-HEL-H132K,"154,800"
,FR-F840-160K-1 (325.0A),"1,100,300"
,FR-A840-160K-1 (325.0A),"1,653,500"
,FR-HEL-H160K,"169,700"
,FR-F840-185K-1 (361.0A),"1,620,700"
,FR-A840-185K-1 (361.0A),"1,669,500"
,FR-HEL-H185K,"185,900"
,FR-F840-220K-1 (432.0A),"1,636,400"
,FR-A840-220K-1 (432.0A),"2,253,000"
,FR-HEL-H220K,"192,600"
,FR-F840-250K-1 (481.0A),"2,207,700"
,FR-A840-250K-1 (481.0A),"2,407,000"
,FR-HEL-H250K,"221,200"
,FR-F840-280K-1 (547.0A),"2,358,000"
,FR-A840-280K-1 (547.0A),"2,445,200"
,FR-HEL-H280K ,"237,400"
,FR-F840-315K-1 (610.0A),"2,395,500"
,FR-A842-315K-1 (610.0A),"5,285,400"
,FR-HEL-H315K,"244,400"
,FR-A842-355K-1 (683.0A),"6,672,500"
