SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
1,FR-D810W-0.1K-008-60,0.1,D,,,,16014.7,,,,,,,
2,FR-D820-0.1K-008-60,0.1,D,,,,14160.5,,,,,,,
3,FR-D820S-0.1K-008-60,0.1,D,,,,15113.0,,,,,,,
4,FR-E820-0.1K-1,0.1,E,,,,18046.7,,,,,,,
5,FR-E820S-0.1K-1,0.1,E,,,,19570.7,,,,,,,
6,FR-D810W-0.2K-014-60,0.2,D,,,,17919.7,,,,,,,
7,FR-D820-0.2K-014-60,0.2,D,,,,15341.6,,,,,,,
8,FR-D820S-0.2K-014-60,0.2,D,,,,16903.7,,,,,,,
9,FR-E820-0.2K-1,0.2,E,,,,18148.3,,,,,,,
10,FR-E820S-0.2K-1,0.2,E,,,,19824.7,,,,,,,
11,MITSUBISHI VFD || FR-S520SE-0.2K-19,0.2,S,,,23123.01,,,,,,,,
12,100 || MITSUBISHI VFD || FR-D720S-0.4K,0.4,D,,,188259.12,,,,,,,,
13,105 || MITSUBISHI VFD || FR-D720-0.4K,0.4,D,,,114001.36,,,,,,,,
14,401 || MITSUBISHI VFD || FR-D740-0.4K,0.4,D,,,54444.75,,,,,,,,
15,FR-D720-0.4K (2.5A),0.4,D,18500.0,,,,,,15725.0,14800.0,13875.0,12950.0,12025.0
16,FR-D720-0.4K / FR-D820-0.4K-025-60 (2.5A),0.4,D,,26200.0,,,,,22270.0,20960.0,19650.0,18340.0,17030.0
17,FR-D720S-0.4K / FR-D720S-025-NA (2.5A),0.4,D,20500.0,,,,,,17425.0,16400.0,15375.0,14350.0,13325.0
18,FR-D720S-0.4K / FR-D820S-0.4K-025-NA (2.5A),0.4,D,,29000.0,,,,,24650.0,23200.0,21750.0,20300.0,18850.0
19,FR-D740-0.4K (1.2A),0.4,D,24000.0,,,,,,20400.0,19200.0,18000.0,16800.0,15600.0
20,FR-D740-0.4K / FR-D840-0.4K-012-NA (1.2A),0.4,D,,35400.0,,,,,30090.0,28320.0,26550.0,24780.0,23010.0
21,FR-D810W-0.4K-025-60,0.4,D,,,,19659.6,,,,,,,
22,FR-D820-0.4K-025-60,0.4,D,,,,16738.6,,,,,,,
23,FR-D820S-0.4K-025-60,0.4,D,,,,18554.7,,,,,,,
24,FR-D840-0.4K-012-60,0.4,D,,,,21958.3,,,,,,,
25,FR-E720-0.4K / FR-E820-030-5-60 (3.0A),0.4,E,,29900.0,,,,,25415.0,23920.0,22425.0,20930.0,19435.0
26,FR-E740-0.4K / FR-E840-016-5-60 (1.6A),0.4,E,,39600.0,,,,,33660.0,31680.0,29700.0,27720.0,25740.0
27,FR-E820-0.4K-1,0.4,E,,,,19177.0,,,,,,,
28,FR-E820-0.4K-1 (3A),0.4,E,20500.0,,,,,,17425.0,16400.0,15375.0,14350.0,13325.0
29,FR-E820S-0.4K-1,0.4,E,,,,23012.4,,,,,,,
30,FR-E840-0.4K-1,0.4,E,,,,25336.5,,,,,,,
