Capacity (kW),Year,Model,Price (BDT)
0.4,2024,FR-D720S-0.4K / FR-D720S-025-NA (2.5A),"20,500"
0.4,2025,FR-D720S-0.4K / FR-D820S-0.4K-025-NA (2.5A),"29,000"
0.4,2024,FR-D720-0.4K (2.5A),"18,500"
0.4,2025,FR-D720-0.4K / FR-D820-0.4K-025-60 (2.5A),"26,200"
0.4,2024,FR-D740-0.4K (1.2A),"24,000"
0.4,2025,FR-D740-0.4K / FR-D840-0.4K-012-NA (1.2A),"35,400"
0.4,2024,FR-E820-0.4K-1 (3A),"20,500"
0.4,2025,FR-E720-0.4K / FR-E820-030-5-60 (3.0A),"29,900"
0.4,2024,FR-E840-0.4K-1 (1.6A),"29,000"
0.4,2025,FR-E740-0.4K / FR-E840-016-5-60 (1.6A),"39,600"
0.4,2024,FR-A820-0.4K-1 (4.6A),"40,000"
0.4,2025,FR-A820-0.4K-1 (3.0A),"80,800"
0.4,2024,FR-A840-0.4K-1 (2.3A),"60,500"
0.4,2025,FR-A840-0.4K-1 (1.5A),"74,500"
0.75,2024,FR-D720S-0.75K / FR-D720S-042-NA (4.2A),"23,500"
0.75,2025,FR-D720S-0.75K / FR-D820S-0.75K-042-NA (4.2A),"31,300"
0.75,2024,FR-D720-0.75K (4.2A),"22,000"
0.75,2025,FR-D720-0.75K / FR-D820-0.75K-042-60 (4.2A),"29,500"
0.75,2024,FR-D740-0.75K (2.2A),"27,500"
0.75,2025,FR-D740-0.75K / FR-D840-0.75K-022-NA (2.2A),"36,600"
0.75,2024,FR-E820-0.75K-1 (5A),"25,500"
0.75,2025,FR-E720-0.75K / FR-E820-050-5-60 (5.0A),"30,800"
0.75,2024,FR-E840-0.75K-1 (2.6A),"32,500"
0.75,2025,FR-E740-0.75K / FR-E840-026-5-60 (2.6A),"39,800"
0.75,2024,FR-F820-0.75K-1 (4.6A),"48,500"
0.75,2025,FR-F820-0.75K-1 (4.2A),"78,800"
0.75,2024,FR-F840-0.75K-1 (2.3A),"58,000"
0.75,2025,FR-F840-0.75K-1 (2.1A),"81,900"
0.75,2024,FR-A820-0.75K-1 (7.7A),"52,000"
0.75,2025,FR-A820-0.75K-1 (5.0A),"83,300"
0.75,2024,FR-A840-0.75K-1 (3.8A),"61,500"
0.75,2025,FR-A840-0.75K-1 (2.5A),"83,300"
1.5,2024,FR-D720S-1.5K / FR-D720S-070-NA (7.0A),"25,500"
1.5,2025,FR-D720S-1.5K / FR-D820S-1.5K-070-NA (7.0A),"39,700"
1.5,2024,FR-D720-1.5K (7A),"23,500"
1.5,2025,FR-D720-1.5K / FR-D820-1.5K-070-60 (7.0A),"34,100"
1.5,2024,FR-D740-1.5K (3.6A),"30,500"
1.5,2025,FR-D740-1.5K / FR-D840-1.5K-036-NA (3.6A),"37,400"
1.5,2024,FR-E820-1.5K-1 (8A),"31,000"
1.5,2025,FR-E720-1.5K / FR-E820-080-5-60 (8.0A),"37,100"
1.5,2024,FR-E840-1.5K-1 (4A),"37,500"
1.5,2025,FR-E740-1.5K / FR-E840-040-5-60 (4.0A),"43,900"
1.5,2024,FR-F820-1.5K-1 (7.7A),"49,500"
1.5,2025,FR-F820-1.5K-1 (7.0A),"80,200"
1.5,2024,FR-F840-1.5K-1 (3.8A),"58,500"
1.5,2025,FR-F840-1.5K-1 (3.5A),"91,600"
1.5,2024,FR-A820-1.5K-1 (10.5A),"54,500"
1.5,2025,FR-A820-1.5K-1 (8.0A),"88,200"
1.5,2024,FR-A840-1.5K-1 (5.2A),"66,500"
1.5,2025,FR-A840-1.5K-1 (4.0A),"92,000"
2.2,2024,FR-D720S-2.2K / FR-D720S-100-NA (10A),"30,500"
2.2,2025,FR-D720S-2.2K / FR-D820S-2.2K-100-NA (10.0A),"43,900"
2.2,2024,FR-D720-2.2K (10A),"28,000"
2.2,2025,FR-D720-2.2K / FR-D820-2.2K-100-60 (10.0A),"36,800"
2.2,2024,FR-D740-2.2K (5A),"37,000"
2.2,2025,FR-D740-2.2K / FR-D840-2.2K-050-NA (5.0A),"42,900"
2.2,2024,FR-E820-2.2K-1 (11A),"33,500"
2.2,2025,FR-E720-2.2K / FR-E820-110-5-60 (11.0A),"38,000"
2.2,2024,FR-E840-2.2K-1 (6A),"41,000"
2.2,2025,FR-E740-2.2K / FR-E840-060-5-60 (6.0A),"47,600"
2.2,2024,FR-F820-2.2K-1 (10.5A),"57,500"
2.2,2025,FR-F820-2.2K-1 (9.6A),"84,600"
2.2,2024,FR-F840-2.2K-1 (5.2A),"59,000"
